Tanggal;Provinsi;Kabupaten/Kota;Cuaca Ekstrem;Dampak
2020-10-07;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2020-10-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2020-11-14;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-11-15;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-11-25;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2020-12-01;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2020-12-02;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2020-12-03;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2020-12-08;Jawa Barat;Kab. Cianjur;Angin Kencang;Pohon Tumbang
2021-01-09;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2021-01-18;Jawa Barat;Kab. Cianjur;Puting Beliung, Hujan Es;Pohon Tumbang
2021-01-19;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Es;Pohon Tumbang, Bangunan Rusak
2021-01-22;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Tanah Longsor
2021-02-07;Jawa Barat;Kab. Cianjur;Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-02-17;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-03-04;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-03-20;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2021-03-30;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-03-30;Jawa Barat;Kab. Cianjur;Puting Beliung, Angin Kencang, Hujan Lebat, Hujan Es;Bangunan Rusak
2021-04-19;Jawa Barat;Kab. Cianjur;Hujan Es;Tidak ada data
2021-04-28;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2021-05-16;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-05-17;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-05-24;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-05-26;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-06-04;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-06-13;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2021-06-18;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2021-07-01;Jawa Barat;Kab. Cianjur;Angin Kencang;Bangunan Rusak
2021-09-15;Jawa Barat;Kab. Cianjur;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2021-09-21;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-10-12;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak, Korban Jiwa / Luka
2021-10-19;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2021-10-30;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-10-31;Jawa Barat;Kab. Cianjur;Puting Beliung, Hujan Lebat;Bangunan Rusak
2021-11-01;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2021-11-03;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2021-11-09;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-12-11;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2021-12-26;Jawa Barat;Kab. Cianjur;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2021-12-27;Jawa Barat;Kab. Cianjur;Puting Beliung, Hujan Es;Bangunan Rusak
2021-12-28;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat, Hujan Es;Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2021-12-30;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-01-10;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-02-01;Jawa Barat;Kab. Cianjur;Hujan Lebat;Bangunan Rusak
2022-02-06;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-02-07;Jawa Barat;Kab. Cianjur;Hujan Lebat;Bangunan Rusak
2022-02-17;Jawa Barat;Kab. Cianjur;Hujan Lebat;Bangunan Rusak
2022-02-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-02-21;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2022-03-09;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2022-03-16;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-04-06;Jawa Barat;Kab. Cianjur;Hujan Lebat;Bangunan Rusak
2022-04-07;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2022-04-10;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-04-18;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-04-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-04-25;Jawa Barat;Kab. Cianjur;Angin Kencang;Pohon Tumbang
2022-05-02;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Korban Jiwa / Luka
2022-05-09;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-05-19;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-06-06;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2022-06-15;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-06-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-06-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-07-16;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2022-08-12;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2022-09-06;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2022-09-07;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2022-09-12;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2022-09-20;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-10-14;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2022-10-15;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Bangunan Rusak
2022-10-19;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-10-22;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2022-10-26;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2022-11-04;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2022-11-12;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-11-12;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-12-16;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Gangguan Transportasi
2023-02-04;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi
2023-02-06;Jawa Barat;Kab. Cianjur;Angin Kencang;Bangunan Rusak
2023-02-09;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi
2023-02-13;Jawa Barat;Kab. Cianjur;Angin Kencang;Pohon Tumbang
2023-03-02;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2023-03-10;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-03-17;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-03-17;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2023-03-20;Jawa Barat;Kab. Cianjur;Puting Beliung, Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2023-03-26;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2023-03-27;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-03-29;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-03-31;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2023-04-30;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-05-01;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2023-05-03;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2023-05-13;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-06-06;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2023-06-19;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-10-20;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2023-10-23;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-11-02;Jawa Barat;Kab. Cianjur;Petir;Bangunan Rusak
2023-11-09;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2023-11-10;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-11-15;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-11-15;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor
2023-11-16;Jawa Barat;Kab. Cianjur;Puting Beliung, Hujan Lebat;Bangunan Rusak
2023-12-02;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2023-12-04;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-12-05;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2024-01-10;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-01-26;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat, Petir;Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi
2024-02-09;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor
2024-02-09;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang
2024-02-18;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-03-17;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-03-27;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2024-06-14;Jawa Barat;Kab. Cianjur;Angin Kencang;Bangunan Rusak, Korban Jiwa / Luka
2024-06-25;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-09-18;Jawa Barat;Kab. Cianjur;Puting Beliung;Bangunan Rusak
2024-10-02;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-10-28;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2024-11-01;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2024-11-05;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-11-07;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-11-12;Jawa Barat;Kab. Cianjur;Angin Kencang;Bangunan Rusak
2024-11-24;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor
2024-11-26;Jawa Barat;Kab. Cianjur;Angin Kencang, Hujan Lebat;Bangunan Rusak, Gangguan Transportasi
2024-12-03;Jawa Barat;Kab. Cianjur;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-12-04;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan
2024-12-04;Jawa Barat;Kab. Cianjur;Hujan Lebat;Banjir / Genangan, Tanah Longsor, Gangguan Transportasi
2018-12-30;Jawa Barat;Kab. Cirebon;Puting Beliung;Bangunan Rusak
2018-12-31;Jawa Barat;Kab. Cirebon;Puting Beliung;Bangunan Rusak, Korban Jiwa / Luka
2019-01-08;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2020-09-22;Jawa Barat;Kab. Cirebon;Puting Beliung;Bangunan Rusak
2021-01-02;Jawa Barat;Kab. Cirebon;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2021-01-04;Jawa Barat;Kab. Cirebon;Puting Beliung;Tidak ada data
2021-01-18;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2021-02-18;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2021-03-01;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor
2021-03-03;Jawa Barat;Kab. Cirebon;Puting Beliung;Bangunan Rusak
2021-03-31;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2021-06-19;Jawa Barat;Kab. Cirebon;Hujan Lebat, Petir;Bangunan Rusak, Korban Jiwa / Luka
2021-12-11;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-12-25;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2021-12-27;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-01-08;Jawa Barat;Kab. Cirebon;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2022-01-21;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2022-01-30;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2022-03-15;Jawa Barat;Kab. Cirebon;Hujan Lebat;Tanah Longsor
2022-03-19;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2022-03-20;Jawa Barat;Kab. Cirebon;Puting Beliung, Hujan Lebat;Bangunan Rusak
2022-03-26;Jawa Barat;Kab. Cirebon;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2022-04-20;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2022-04-24;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Banjir / Genangan
2022-12-18;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-12-20;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2023-01-14;Jawa Barat;Kab. Cirebon;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2023-01-21;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2023-01-24;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-02-27;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Banjir / Genangan
2023-02-28;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang
2023-04-01;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat, Petir;Korban Jiwa / Luka
2023-05-02;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2024-01-26;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Bangunan Rusak
2024-03-01;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2024-03-01;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2024-03-06;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2024-03-13;Jawa Barat;Kab. Cirebon;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2024-05-24;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2024-07-07;Jawa Barat;Kab. Cirebon;Hujan Lebat;Banjir / Genangan
2018-02-20;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Tidak ada data
2018-04-02;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Pohon Tumbang
2018-09-29;Jawa Barat;Kab. Garut;Jarak Pandang;Tidak ada data
2018-10-08;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2018-12-02;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2018-12-25;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2018-12-28;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2019-01-19;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2019-03-04;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2019-03-27;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2019-04-16;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2019-07-21;Jawa Barat;Kab. Garut;Suhu Ekstrem;Tidak ada data
2019-08-06;Jawa Barat;Kab. Garut;Puting Beliung;Tidak ada data
2019-08-16;Jawa Barat;Kab. Garut;Suhu Ekstrem;Tidak ada data
2019-10-05;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2019-10-24;Jawa Barat;Kab. Garut;Suhu Ekstrem;Gangguan Transportasi
2019-11-05;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2019-11-06;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2019-11-08;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2019-11-13;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Pohon Tumbang
2019-11-22;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2020-01-16;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2020-02-29;Jawa Barat;Kab. Garut;Angin Kencang;Bangunan Rusak
2020-03-20;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2020-04-02;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-05-11;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2020-05-31;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2020-06-19;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2020-10-12;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2020-11-01;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2020-11-13;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2020-12-03;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2020-12-04;Jawa Barat;Kab. Garut;Suhu Ekstrem;Tanah Longsor
2020-12-24;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-01-09;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2021-01-09;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2021-03-31;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2021-10-21;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-11-08;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2021-11-27;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2021-12-11;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2021-12-25;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2022-01-13;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2022-02-23;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2022-03-17;Jawa Barat;Kab. Garut;Hujan Lebat;Tidak ada data
2022-04-02;Jawa Barat;Kab. Garut;Puting Beliung;Pohon Tumbang, Bangunan Rusak
2022-04-03;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2022-05-09;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2022-07-15;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2022-07-16;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan
2022-10-03;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Pohon Tumbang, Gangguan Transportasi
2022-10-21;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2022-10-22;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-11-08;Jawa Barat;Kab. Garut;Puting Beliung, Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-11-24;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-11-24;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2022-12-17;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-12-19;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2022-12-20;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak
2022-12-20;Jawa Barat;Kab. Garut;Hujan Lebat;Bangunan Rusak, Gangguan Transportasi
2023-02-18;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-03-28;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2023-03-31;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-04-28;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-04-29;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Bangunan Rusak
2023-05-04;Jawa Barat;Kab. Garut;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-05-06;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-10-17;Jawa Barat;Kab. Garut;Puting Beliung;Tidak ada data
2023-10-27;Jawa Barat;Kab. Garut;Puting Beliung;Bangunan Rusak, Gangguan Transportasi
2023-12-25;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-01-11;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-01-19;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2024-02-05;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-02-11;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-03-01;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2024-03-12;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2024-04-12;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-06-30;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor, Gangguan Transportasi
2024-09-11;Jawa Barat;Kab. Garut;Hujan Lebat;Tanah Longsor
2024-09-25;Jawa Barat;Kab. Garut;Hujan Lebat;Bangunan Rusak
2024-11-06;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Gangguan Transportasi
2024-11-10;Jawa Barat;Kab. Garut;Hujan Lebat, Petir;Korban Jiwa / Luka
2024-11-10;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-11-13;Jawa Barat;Kab. Garut;Angin Kencang, Hujan Lebat;Bangunan Rusak
2024-12-03;Jawa Barat;Kab. Garut;Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2018-08-03;Jawa Barat;Kab. Indramayu;Angin Kencang;Gangguan Transportasi
2018-08-11;Jawa Barat;Kab. Indramayu;Angin Kencang;Gangguan Transportasi
2019-01-27;Jawa Barat;Kab. Indramayu;Puting Beliung;Bangunan Rusak
2019-02-03;Jawa Barat;Kab. Indramayu;Angin Kencang;Bangunan Rusak
2019-05-11;Jawa Barat;Kab. Indramayu;Hujan Lebat;Bangunan Rusak
2019-07-01;Jawa Barat;Kab. Indramayu;Suhu Ekstrem;Tidak ada data
2019-07-24;Jawa Barat;Kab. Indramayu;Suhu Ekstrem;Tidak ada data
2019-11-14;Jawa Barat;Kab. Indramayu;Angin Kencang;Pohon Tumbang, Bangunan Rusak
2019-12-03;Jawa Barat;Kab. Indramayu;Angin Kencang, Hujan Lebat;Bangunan Rusak
2019-12-26;Jawa Barat;Kab. Indramayu;Puting Beliung;Bangunan Rusak
2020-01-09;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2020-02-24;Jawa Barat;Kab. Indramayu;Angin Kencang, Hujan Lebat;Bangunan Rusak
2020-04-26;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2020-06-03;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2020-12-06;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2020-12-29;Jawa Barat;Kab. Indramayu;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-01-21;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2021-02-08;Jawa Barat;Kab. Indramayu;Hujan Lebat;Banjir / Genangan
2021-03-27;Jawa Barat;Kab. Indramayu;Angin Kencang, Hujan Lebat;Bangunan Rusak
2021-04-19;Jawa Barat;Kab. Indramayu;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
