kabupaten/kota;tahun;hasil_panen;status_panen;info_cuaca
Bogor;2022;299893,8;NAIK (+14.740 ton);Cuaca: Hujan Lebat (42x), Angin Kencang, Hujan Lebat (26x), Angin Kencang (4x), Puting Beliung (1x), Puting Beliung, Hujan Lebat (1x), Puting Beliung, Angin Kencang (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (12x), Bangunan Rusak (10x), Pohon Tumbang (8x), Banjir / Genangan, Tanah Longsor (7x), Tanah Longsor, Bangunan Rusak (6x), Tanah Longsor (5x), Pohon Tumbang, Gangguan Transportasi (4x), Pohon Tumbang, Bangunan Rusak (3x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (3x), Tanah Longsor, Gangguan Transportasi (3x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (3x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak (1x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Gangguan Transportasi (1x)
Bogor;2023;283266,6;TURUN (-16.627 ton);Cuaca: Angin Kencang, Hujan Lebat (42x), Hujan Lebat (39x), Angin Kencang (7x), Hujan Lebat, Hujan Es (1x), Angin Kencang, Petir (1x), Hujan Lebat, Petir (1x), Puting Beliung (1x), Puting Beliung, Angin Kencang (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Lebat, Petir (1x) | Dampak: Bangunan Rusak (16x), Pohon Tumbang, Bangunan Rusak (12x), Banjir / Genangan (8x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (7x), Tanah Longsor, Bangunan Rusak (6x), Tanah Longsor (5x), Tanah Longsor, Gangguan Transportasi (4x), Banjir / Genangan, Tanah Longsor (3x), Tanah Longsor, Korban Jiwa / Luka (3x), Pohon Tumbang, Gangguan Transportasi (3x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (2x), Banjir / Genangan, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tidak ada data (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x)
Bogor;2024;299675,8;NAIK (+16.409 ton);Cuaca: Hujan Lebat (47x), Angin Kencang, Hujan Lebat (45x), Angin Kencang (4x), Angin Kencang, Hujan Lebat, Petir (3x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Es (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (13x), Bangunan Rusak (13x), Tanah Longsor, Bangunan Rusak (10x), Banjir / Genangan (8x), Pohon Tumbang, Gangguan Transportasi (7x), Tanah Longsor (5x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (4x), Pohon Tumbang (4x), Banjir / Genangan, Gangguan Transportasi (4x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (4x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (3x), Tanah Longsor, Gangguan Transportasi (3x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (2x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (2x), Pohon Tumbang, Korban Jiwa / Luka (2x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (2x), Tanah Longsor, Korban Jiwa / Luka (2x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x)
Kota Bogor;2018;420,38;Data Awal;Cuaca: Hujan Lebat (10x), Angin Kencang, Hujan Lebat (6x), Puting Beliung (2x), Angin Kencang (1x), Puting Beliung, Hujan Es (1x), Puting Beliung, Hujan Lebat (1x) | Dampak: Bangunan Rusak (7x), Pohon Tumbang (3x), Banjir / Genangan (2x), Tanah Longsor (2x), Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Tidak ada data (1x)
Kota Bogor;2019;304,28;TURUN (-116 ton);Cuaca: Angin Kencang, Hujan Lebat (14x), Hujan Lebat (14x), Suhu Ekstrem (3x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Angin Kencang, Petir (2x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x) | Dampak: Banjir / Genangan (7x), Pohon Tumbang (7x), Bangunan Rusak (5x), Tidak ada data (5x), Pohon Tumbang, Bangunan Rusak (3x), Tanah Longsor (3x), Pohon Tumbang, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x)
Kota Bogor;2020;152,26;TURUN (-152 ton);Cuaca: Hujan Lebat (24x), Angin Kencang (8x), Angin Kencang, Hujan Lebat (7x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Es (1x) | Dampak: Banjir / Genangan (12x), Bangunan Rusak (8x), Pohon Tumbang, Bangunan Rusak (6x), Pohon Tumbang (5x), Banjir / Genangan, Tanah Longsor (3x), Tanah Longsor (3x), Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan, Bangunan Rusak (2x), Pohon Tumbang, Tanah Longsor (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x)
Kota Bogor;2021;172,1;NAIK (+20 ton);Cuaca: Hujan Lebat (33x), Angin Kencang, Hujan Lebat (15x), Angin Kencang (4x), Puting Beliung (3x), Puting Beliung, Hujan Es (1x), Petir (1x), Hujan Lebat, Petir (1x) | Dampak: Tanah Longsor (14x), Pohon Tumbang (12x), Banjir / Genangan (11x), Bangunan Rusak (7x), Pohon Tumbang, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Gangguan Transportasi (1x), Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor (1x)
Kota Bogor;2022;173,99;NAIK (+2 ton);Cuaca: Hujan Lebat (42x), Angin Kencang, Hujan Lebat (26x), Angin Kencang (4x), Puting Beliung (1x), Puting Beliung, Hujan Lebat (1x), Puting Beliung, Angin Kencang (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Banjir / Genangan (12x), Bangunan Rusak (10x), Pohon Tumbang (8x), Banjir / Genangan, Tanah Longsor (7x), Tanah Longsor, Bangunan Rusak (6x), Tanah Longsor (5x), Pohon Tumbang, Gangguan Transportasi (4x), Pohon Tumbang, Bangunan Rusak (3x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (3x), Tanah Longsor, Gangguan Transportasi (3x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (3x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak (1x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Gangguan Transportasi (1x)
Kota Bogor;2023;123,61;TURUN (-50 ton);Cuaca: Angin Kencang, Hujan Lebat (42x), Hujan Lebat (39x), Angin Kencang (7x), Hujan Lebat, Hujan Es (1x), Angin Kencang, Petir (1x), Hujan Lebat, Petir (1x), Puting Beliung (1x), Puting Beliung, Angin Kencang (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Lebat, Petir (1x) | Dampak: Bangunan Rusak (16x), Pohon Tumbang, Bangunan Rusak (12x), Banjir / Genangan (8x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (7x), Tanah Longsor, Bangunan Rusak (6x), Tanah Longsor (5x), Tanah Longsor, Gangguan Transportasi (4x), Banjir / Genangan, Tanah Longsor (3x), Tanah Longsor, Korban Jiwa / Luka (3x), Pohon Tumbang, Gangguan Transportasi (3x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (2x), Banjir / Genangan, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tidak ada data (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x)
Kota Bogor;2024;150,39;NAIK (+27 ton);Cuaca: Hujan Lebat (47x), Angin Kencang, Hujan Lebat (45x), Angin Kencang (4x), Angin Kencang, Hujan Lebat, Petir (3x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Es (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (13x), Bangunan Rusak (13x), Tanah Longsor, Bangunan Rusak (10x), Banjir / Genangan (8x), Pohon Tumbang, Gangguan Transportasi (7x), Tanah Longsor (5x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (4x), Pohon Tumbang (4x), Banjir / Genangan, Gangguan Transportasi (4x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (4x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (3x), Tanah Longsor, Gangguan Transportasi (3x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (2x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (2x), Pohon Tumbang, Korban Jiwa / Luka (2x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (2x), Tanah Longsor, Korban Jiwa / Luka (2x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x)
Ciamis;2018;316212,98;Data Awal;Cuaca: Hujan Lebat (3x), Puting Beliung, Hujan Lebat (1x), Puting Beliung, Angin Kencang (1x), Angin Kencang, Hujan Lebat (1x), Angin Kencang, Hujan Lebat, Petir (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (3x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang (1x), Tanah Longsor (1x), Tanah Longsor, Bangunan Rusak (1x)
Ciamis;2019;276734,07;TURUN (-39.479 ton);Cuaca: Angin Kencang, Hujan Lebat (4x), Angin Kencang (3x), Hujan Lebat (2x), Suhu Ekstrem (1x) | Dampak: Bangunan Rusak (5x), Pohon Tumbang, Bangunan Rusak (2x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor (1x), Tidak ada data (1x)
Ciamis;2020;282791,5;NAIK (+6.057 ton);Cuaca: Hujan Lebat (13x), Angin Kencang (5x), Angin Kencang, Hujan Lebat (5x), Puting Beliung (2x), Puting Beliung, Angin Kencang (1x), Hujan Lebat, Petir (1x) | Dampak: Bangunan Rusak (8x), Pohon Tumbang, Bangunan Rusak (5x), Banjir / Genangan (4x), Pohon Tumbang, Tanah Longsor (2x), Tanah Longsor (2x), Pohon Tumbang (2x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Gangguan Transportasi (1x), Bangunan Rusak, Korban Jiwa / Luka (1x)
Ciamis;2021;320330,73;NAIK (+37.539 ton);Cuaca: Hujan Lebat (7x), Angin Kencang, Hujan Lebat (3x), Angin Kencang (2x), Puting Beliung (1x), Angin Kencang, Hujan Es (1x) | Dampak: Tanah Longsor (5x), Pohon Tumbang (3x), Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Gangguan Transportasi (1x), Banjir / Genangan (1x), Pohon Tumbang, Gangguan Transportasi (1x)
Ciamis;2022;305676,2;TURUN (-14.655 ton);Cuaca: Angin Kencang, Hujan Lebat (9x), Hujan Lebat (6x), Angin Kencang, Hujan Lebat, Petir (1x), Angin Kencang (1x), Hujan Lebat, Petir (1x), Puting Beliung, Angin Kencang, Hujan Lebat (1x) | Dampak: Bangunan Rusak (6x), Pohon Tumbang, Bangunan Rusak (4x), Tanah Longsor (4x), Tanah Longsor, Bangunan Rusak (3x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan (1x)
Ciamis;2023;299124,5;TURUN (-6.552 ton);Cuaca: Angin Kencang, Hujan Lebat (12x), Hujan Lebat (10x), Angin Kencang (3x), Hujan Lebat, Petir (2x) | Dampak: Pohon Tumbang, Bangunan Rusak (6x), Bangunan Rusak (5x), Banjir / Genangan, Tanah Longsor (3x), Pohon Tumbang (3x), Banjir / Genangan (2x), Tanah Longsor, Bangunan Rusak (2x), Tanah Longsor, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x)
Ciamis;2024;236248,2;TURUN (-62.876 ton);Cuaca: Angin Kencang, Hujan Lebat (9x), Hujan Lebat (3x) | Dampak: Pohon Tumbang, Bangunan Rusak (4x), Bangunan Rusak (3x), Tanah Longsor, Bangunan Rusak (3x), Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x)
Cianjur;2018;696725,99;Data Awal;Cuaca: Hujan Lebat (2x), Puting Beliung (2x), Angin Kencang, Hujan Lebat (1x) | Dampak: Pohon Tumbang, Bangunan Rusak (2x), Bangunan Rusak (2x), Banjir / Genangan (1x)
Cianjur;2019;641804,29;TURUN (-54.922 ton);Cuaca: Suhu Ekstrem (3x), Hujan Lebat (2x), Angin Kencang, Hujan Es (1x), Angin Kencang, Hujan Lebat (1x) | Dampak: Tidak ada data (3x), Banjir / Genangan, Tanah Longsor (1x), Tanah Longsor (1x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang (1x)
Cianjur;2020;622992,3;TURUN (-18.812 ton);Cuaca: Hujan Lebat (18x), Angin Kencang, Hujan Lebat (1x), Puting Beliung (1x), Angin Kencang (1x) | Dampak: Tanah Longsor (7x), Banjir / Genangan (4x), Bangunan Rusak (2x), Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan, Tanah Longsor (2x), Banjir / Genangan, Bangunan Rusak (2x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor (1x), Pohon Tumbang (1x)
Cianjur;2021;611773,02;TURUN (-11.219 ton);Cuaca: Hujan Lebat (17x), Angin Kencang, Hujan Lebat (6x), Puting Beliung, Hujan Es (2x), Angin Kencang (2x), Puting Beliung (2x), Angin Kencang, Hujan Es (1x), Hujan Es (1x), Puting Beliung, Angin Kencang, Hujan Lebat, Hujan Es (1x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Tanah Longsor (11x), Bangunan Rusak (5x), Pohon Tumbang, Bangunan Rusak (4x), Pohon Tumbang (4x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan (2x), Tanah Longsor, Gangguan Transportasi (1x), Tidak ada data (1x), Banjir / Genangan, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x)
Cianjur;2022;617941;NAIK (+6.168 ton);Cuaca: Hujan Lebat (26x), Puting Beliung (5x), Angin Kencang, Hujan Lebat (5x), Angin Kencang (1x) | Dampak: Bangunan Rusak (12x), Tanah Longsor (6x), Banjir / Genangan (4x), Tanah Longsor, Gangguan Transportasi (3x), Banjir / Genangan, Gangguan Transportasi (2x), Pohon Tumbang (2x), Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak (1x), Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x)
Cianjur;2023;650123,1;NAIK (+32.182 ton);Cuaca: Hujan Lebat (14x), Angin Kencang, Hujan Lebat (10x), Angin Kencang (2x), Puting Beliung, Hujan Lebat (2x), Puting Beliung (1x), Petir (1x) | Dampak: Bangunan Rusak (5x), Tanah Longsor, Bangunan Rusak (4x), Tanah Longsor (3x), Banjir / Genangan, Bangunan Rusak (3x), Tanah Longsor, Gangguan Transportasi (3x), Pohon Tumbang, Gangguan Transportasi (3x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Pohon Tumbang (1x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Gangguan Transportasi (1x), Banjir / Genangan (1x)
Cianjur;2024;630847,8;TURUN (-19.275 ton);Cuaca: Hujan Lebat (10x), Angin Kencang, Hujan Lebat (7x), Angin Kencang (2x), Angin Kencang, Hujan Lebat, Petir (1x), Puting Beliung (1x) | Dampak: Tanah Longsor, Bangunan Rusak (4x), Bangunan Rusak (4x), Banjir / Genangan (2x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Gangguan Transportasi (1x), Tanah Longsor, Gangguan Transportasi (1x), Pohon Tumbang, Tanah Longsor (1x), Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Gangguan Transportasi (1x)
Kota Cimahi;2018;393,82;Data Awal;Cuaca: Hujan Lebat (2x) | Dampak: Banjir / Genangan (2x)
Kota Cimahi;2019;406,54;NAIK (+13 ton);Cuaca: Puting Beliung (2x), Angin Kencang, Hujan Lebat (2x), Hujan Lebat (1x) | Dampak: Bangunan Rusak (3x), Banjir / Genangan, Tanah Longsor, Korban Jiwa / Luka (1x), Pohon Tumbang, Bangunan Rusak (1x)
Kota Cimahi;2020;437,44;NAIK (+31 ton);Cuaca: Hujan Lebat (3x), Puting Beliung (1x) | Dampak: Banjir / Genangan (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Banjir / Genangan, Gangguan Transportasi (1x), Bangunan Rusak (1x)
Kota Cimahi;2021;442,71;NAIK (+5 ton);Cuaca: Hujan Lebat (2x), Angin Kencang, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Lebat (1x), Puting Beliung (1x) | Dampak: Banjir / Genangan (2x), Bangunan Rusak (2x), Banjir / Genangan, Gangguan Transportasi (1x)
Kota Cimahi;2022;338,03;TURUN (-105 ton);Cuaca: Hujan Lebat (4x) | Dampak: Banjir / Genangan, Gangguan Transportasi (2x), Banjir / Genangan (1x), Bangunan Rusak (1x)
Kota Cimahi;2023;440,48;NAIK (+102 ton);Cuaca: Hujan Lebat (5x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (3x), Banjir / Genangan (2x), Pohon Tumbang, Gangguan Transportasi (1x)
Kota Cimahi;2024;435,34;TURUN (-5 ton);Cuaca: Hujan Lebat (3x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (2x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x)
Cirebon;2018;552564,77;Data Awal;Cuaca: Hujan Lebat (7x), Puting Beliung (4x), Angin Kencang (3x), Angin Kencang, Hujan Lebat (1x), Hujan Lebat, Petir (1x) | Dampak: Banjir / Genangan (4x), Bangunan Rusak (3x), Pohon Tumbang, Bangunan Rusak (3x), Tidak ada data (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Bangunan Rusak (1x), Banjir / Genangan, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x), Gangguan Transportasi (1x)
Cirebon;2019;502574,97;TURUN (-49.990 ton);Cuaca: Angin Kencang (3x), Angin Kencang, Hujan Lebat (2x), Hujan Lebat (2x), Suhu Ekstrem (1x) | Dampak: Pohon Tumbang (3x), Banjir / Genangan (2x), Pohon Tumbang, Bangunan Rusak (1x), Tidak ada data (1x), Bangunan Rusak (1x)
Cirebon;2020;497080,1;TURUN (-5.495 ton);Cuaca: Hujan Lebat (8x), Angin Kencang, Hujan Lebat (3x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Petir (1x) | Dampak: Banjir / Genangan (8x), Bangunan Rusak (3x), Banjir / Genangan, Pohon Tumbang (1x), Pohon Tumbang (1x), Pohon Tumbang, Bangunan Rusak (1x)
Cirebon;2021;464730,69;TURUN (-32.349 ton);Cuaca: Hujan Lebat (5x), Angin Kencang, Hujan Lebat (4x), Puting Beliung (3x), Hujan Lebat, Petir (1x) | Dampak: Banjir / Genangan (5x), Bangunan Rusak (2x), Tidak ada data (1x), Pohon Tumbang, Bangunan Rusak (1x), Pohon Tumbang, Tanah Longsor (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Pohon Tumbang (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak (1x)
Cirebon;2022;494700;NAIK (+29.969 ton);Cuaca: Hujan Lebat (8x), Angin Kencang, Hujan Lebat (7x), Angin Kencang (1x), Puting Beliung, Hujan Lebat (1x) | Dampak: Banjir / Genangan (5x), Pohon Tumbang (3x), Bangunan Rusak (2x), Banjir / Genangan, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak (1x), Tanah Longsor (1x), Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Gangguan Transportasi (1x)
